U,T,docc_metal,nd_metal,F_metal,Z_metal,Zp_metal,eta_metal,W_metal,eps_metal,V_metal,conv_metal,metal_valid,docc_insulator,nd_insulator,F_insulator,Z_insulator,Zp_insulator,eta_insulator,W_insulator,eps_insulator,V_insulator,conv_insulator,ins_valid,deltaF,stable_phase,coexistence
2.0,0.02,0.24914148401439176,0.9999999999999998,-1.1707827140740574,0.006809581359172037,0.5000000000000001,0.0,0.7588150244299263,0.0,0.2412950699502208,True,True,0.24914148463961255,0.9999999999999998,-1.1707827256481453,0.006809580582086118,0.5000000000000001,0.0,0.7588150657191651,0.0,0.2412950848058454,True,True,1.1574087910304343e-08,insulator,True
2.0482758620689654,0.02,0.24903795110917656,1.0000000000000004,-1.1915945286107967,0.006809581395407884,0.4999999999999998,0.0,0.7588150244299263,0.0,0.2412950699502208,True,True,0.24903865071223055,0.999999999999996,-1.1916059413681852,0.006796031344300255,0.5000000000000013,0.0,0.7595762911484318,0.0,0.24131005268471523,True,True,1.1412757388473693e-05,insulator,True
2.0965517241379312,0.02,0.24892496196712666,1.0000000000000007,-1.2125045436542117,0.006809581395407884,0.4999999999999998,0.0,0.7588150244299263,0.0,0.2412950699502208,True,True,0.24892629507975594,0.9999999999999978,-1.2125237565316296,0.006786353306727671,0.5000000000000007,0.0,0.7601214192354269,0.0,0.24132087653936193,True,True,1.9212877417906782e-05,insulator,True
2.1448275862068966,0.02,0.2488020016181112,1.0000000000000004,-1.2335092278233173,0.006809581395407884,0.4999999999999998,0.0,0.7588150244299263,0.0,0.2412950699502208,True,True,0.24880385446399478,1.0000000000000002,-1.2335328766646132,0.006780071085196331,0.4999999999999999,0.0,0.7604759030876878,0.0,0.2413275816122273,True,True,2.364884129590905e-05,insulator,True
2.193103448275862,0.02,0.24867083134866252,0.9999999999999971,-1.2546309487672918,0.006776697482877428,0.500000000000001,0.0,0.7606664662289495,0.0,0.24133133020096054,True,True,0.2486702240574868,1.0000000000000013,-1.2546240586039359,0.006785427223453621,0.4999999999999996,0.0,0.760173649870015,0.0,0.24132163879386406,True,True,-6.890163355866008e-06,metal,True
2.2413793103448274,0.02,0.24852668073478548,1.0000000000000004,-1.2758149486080244,0.006775877457709073,0.4999999999999998,0.0,0.7607128039840152,0.0,0.24133224279816612,True,True,0.24852595162710434,1.0000000000000004,-1.2758075875597825,0.006785427223453621,0.4999999999999998,0.0,0.760173649870015,0.0,0.24132163879386406,True,True,-7.361048241838475e-06,metal,True
2.2896551724137932,0.02,0.2483709968195005,1.0000000000000007,-1.2970831923376975,0.006775877457709073,0.4999999999999998,0.0,0.7607128039840152,0.0,0.24133224279816612,True,True,0.2483701989124263,1.0000000000000002,-1.2970760071118665,0.006785427223453621,0.4999999999999999,0.0,0.760173649870015,0.0,0.24132163879386406,True,True,-7.1852258309856865e-06,metal,True
2.3379310344827586,0.02,0.2482033465043768,1.0000000000000009,-1.3184333232214267,0.006775877457709073,0.4999999999999996,0.0,0.7607128039840152,0.0,0.24133224279816612,True,True,0.24820247557309996,1.000000000000004,-1.3184263115203159,0.006785427223453621,0.49999999999999833,0.0,0.760173649870015,0.0,0.24132163879386406,True,True,-7.011701110837265e-06,metal,True
2.386206896551724,0.02,0.2480232511064272,1.0000000000000002,-1.3398624560516343,0.006775877457709073,0.4999999999999999,0.0,0.7607128039840152,0.0,0.24133224279816612,True,True,0.2480223028697649,1.000000000000004,-1.3398556155781698,0.006785427223453621,0.49999999999999833,0.0,0.760173649870015,0.0,0.24132163879386406,True,True,-6.840473464553298e-06,metal,True
2.43448275862069,0.02,0.24783024561465491,1.0000000000000004,-1.3613678217619831,0.006775877457709073,0.4999999999999998,0.0,0.7607128039840152,0.0,0.24133224279816612,True,True,0.24782853163931703,0.9999999999999998,-1.3613567225409997,0.006791767745049841,0.5000000000000001,0.0,0.759816311740282,0.0,0.2413145975072704,True,True,-1.109922098341265e-05,metal,True
2.4827586206896552,0.02,0.24762388068895522,1.0000000000000002,-1.382946763069048,0.006775877457709073,0.4999999999999999,0.0,0.7607128039840152,0.0,0.24133224279816612,True,True,0.24762113786993967,1.0000000000000004,-1.3829307865185263,0.006799349051873732,0.4999999999999998,0.0,0.7593896920942709,0.0,0.24130618596781492,True,True,-1.5976550521656918e-05,metal,True
2.5310344827586206,0.02,0.2473997024768054,1.0,-1.40457561510307,0.006807956081866078,0.4999999999999999,0.0,0.7589062135186417,0.0,0.2412969015848291,True,True,0.2473996703174056,1.0000000000000004,-1.4045754465835503,0.006807975992857042,0.4999999999999998,0.0,0.7589051013568376,0.0,0.24129661921522655,True,True,-1.6851951967211676e-07,metal,True
2.5793103448275865,0.02,0.24716372644925008,1.0000000000000002,-1.4262885485177428,0.006817437114974722,0.4999999999999999,0.0,0.7583747086426061,0.0,0.24128631613473492,True,True,0.24716228635605905,1.0000000000000004,-1.4262817428296801,0.006827835484312033,0.4999999999999998,0.0,0.7577930428396635,0.0,0.24127459985267508,True,True,-6.8056880626610194e-06,metal,True
2.627586206896552,0.02,0.24691284256958534,1.0000000000000069,-1.4480676031861703,0.00682765438127882,0.49999999999999706,0.0,0.757803162067509,0.0,0.24127497643995743,True,True,0.2469127927469563,1.0000000000000056,-1.4480673901936452,0.006827835484312033,0.49999999999999756,0.0,0.7577930428396635,0.0,0.24127459985267508,True,True,-2.1299252517259504e-07,metal,True
2.6758620689655173,0.02,0.24664836542170493,1.0000000000000004,-1.4699172121813697,0.00682765438127882,0.4999999999999998,0.0,0.757803162067509,0.0,0.24127497643995743,True,True,0.2466465813446733,0.9999999999999998,-1.4699103010150834,0.006838823664115966,0.5000000000000001,0.0,0.7571798263321452,0.0,0.2412624213960857,True,True,-6.911166286371895e-06,metal,True
2.7241379310344827,0.02,0.24636855670267518,1.000000000000005,-1.4918286271717829,0.00682765438127882,0.4999999999999977,0.0,0.757803162067509,0.0,0.24127497643995743,True,True,0.24636469287680793,0.9999999999999952,-1.4918150410896887,0.006850388421767026,0.5000000000000021,0.0,0.7565360209284282,0.0,0.24124960821519095,True,True,-1.3586082094230179e-05,metal,True
2.772413793103448,0.02,0.24606683956733053,1.0000000000000002,-1.513779768963674,0.006862317983690802,0.4999999999999999,0.0,0.7558736037029059,0.0,0.24123656708322544,True,True,0.24606453912291645,1.000000000000001,-1.513772436290973,0.006874914320444582,0.4999999999999996,0.0,0.7551760347553412,0.0,0.2412224614454863,True,True,-7.33267270103255e-06,metal,True
2.820689655172414,0.02,0.2457526819356524,1.0000000000000002,-1.5358024261979142,0.006874540099522158,0.4999999999999999,0.0,0.755196731055576,0.0,0.24122315896598673,True,True,0.24575256049475191,1.0000000000000002,-1.5358020737245377,0.006874914320444582,0.4999999999999999,0.0,0.7551760347553412,0.0,0.2412224614454863,True,True,-3.524733764859178e-07,metal,True
2.8689655172413793,0.02,0.24542178824768382,1.0000000000000004,-1.5578807425873942,0.006887572941768916,0.4999999999999998,0.0,0.7544769408492749,0.0,0.24120863422764321,True,True,0.2454175466984328,1.0000000000000002,-1.5578695407396073,0.006908083496998666,0.4999999999999999,0.0,0.7533482828596405,0.0,0.24118578587172676,True,True,-1.1201847786912467e-05,metal,True
2.9172413793103447,0.02,0.24507695413330563,1.000000000000001,-1.5800203779326076,0.006887572941768916,0.4999999999999996,0.0,0.7544769408492749,0.0,0.24120863422764321,True,True,0.24507244437476913,1.0000000000000002,-1.5800094931993043,0.006908083496998666,0.4999999999999999,0.0,0.7533482828596405,0.0,0.24118578587172676,True,True,-1.0884733303351268e-05,metal,True
2.9655172413793105,0.02,0.244715443169184,1.0000000000000009,-1.6022122352932577,0.006887572941768916,0.49999999999999944,0.0,0.7544769408492749,0.0,0.24120863422764321,True,True,0.24470923684843823,1.0000000000000002,-1.6021985321144157,0.006914214340218226,0.4999999999999999,0.0,0.7530118869499334,0.0,0.2411790104233654,True,True,-1.370317884208383e-05,metal,True
3.013793103448276,0.02,0.2443370781205722,1.0000000000000007,-1.6244546232758947,0.006887572941768916,0.4999999999999996,0.0,0.7544769408492749,0.0,0.24120863422764321,True,True,0.2443271755531028,0.9999999999999993,-1.624434606037412,0.006927773463134209,0.5000000000000003,0.0,0.7522694933602823,0.0,0.2411640313474378,True,True,-2.001723848277237e-05,metal,True
3.0620689655172413,0.02,0.24394171187921906,1.0000000000000013,-1.646745917172068,0.006887572941768916,0.49999999999999944,0.0,0.7544769408492749,0.0,0.24120863422764321,True,True,0.24392767316371425,1.0000000000000007,-1.6467199053309236,0.006941514462551058,0.4999999999999996,0.0,0.7515193467043533,0.0,0.24114886218545356,True,True,-2.601184114436883e-05,metal,True
3.110344827586207,0.02,0.24352922773657457,1.0000000000000009,-1.6690845559792675,0.006887572941768916,0.49999999999999944,0.0,0.7544769408492749,0.0,0.24120863422764321,True,True,0.2435067879287145,1.0000000000000002,-1.6690464388366344,0.006969312387604316,0.4999999999999998,0.0,0.7500085899826521,0.0,0.24111819502619797,True,True,-3.8117142633131706e-05,metal,True
3.1586206896551725,0.02,0.24309953951912258,1.0000000000000007,-1.6914690395460965,0.006887572941768916,0.4999999999999996,0.0,0.7544769408492749,0.0,0.24120863422764321,True,True,0.2430758851486378,1.0000000000000007,-1.6914320939844636,0.006969312387604316,0.4999999999999996,0.0,0.7500085899826521,0.0,0.24111819502619797,True,True,-3.694556163291729e-05,metal,True
3.206896551724138,0.02,0.24265259158992575,1.000000000000005,-1.7138979258393723,0.006887572941768916,0.4999999999999972,0.0,0.7544769408492749,0.0,0.24120863422764321,True,True,0.24262343425266097,1.0000000000000002,-1.713856050842384,0.006983332967886337,0.4999999999999998,0.0,0.7492500185336759,0.0,0.2411027395902846,True,True,-4.1874996988378044e-05,metal,True
