T,Uc1,Uc2,Uc_eq
0.02,2.0,3.4,2.182211522373454
0.02947368421052632,2.0,3.4,
0.03894736842105263,2.0,3.4,2.5980385873657537
0.04842105263157895,2.0,3.4,
0.05789473684210526,2.0,3.4,3.315025028192703
0.06736842105263158,2.0,3.4,
0.0768421052631579,2.0,3.4,2.195753219190267
0.08631578947368422,2.0,3.4,2.67950827946057
0.09578947368421054,2.0,3.4,2.8685333891184834
0.10526315789473685,2.0,3.4,3.0524016431807035
0.11473684210526316,2.0,3.4,3.1296227067245446
0.12421052631578948,2.0,3.4,3.0869643276112892
0.1336842105263158,2.0,3.4,2.6564069475624446
0.14315789473684212,2.0,3.4,2.0020422375668594
0.15263157894736842,2.0,3.4,2.9257357788578493
0.16210526315789472,2.0,3.4,2.8212765973491867
0.17157894736842105,2.0,3.4,2.0000081560381244
0.18105263157894738,2.0,3.4,2.6276721716668314
0.19052631578947368,2.0,3.4,2.03479061349202
0.2,2.0,3.4,2.628034158740529
