T,Uc1,Uc2,Uc_eq
0.02,1.7564102564102564,2.3974358974358974,
0.02947368421052632,1.8205128205128205,2.2051282051282053,
0.03894736842105263,1.8205128205128205,2.141025641025641,
0.04842105263157895,1.8846153846153846,2.0769230769230766,
0.05789473684210526,1.8846153846153846,2.0128205128205128,
0.06736842105263158,1.8205128205128205,2.141025641025641,
0.0768421052631579,1.8205128205128205,2.4615384615384617,
0.08631578947368422,1.9487179487179487,2.782051282051282,
0.09578947368421054,2.141025641025641,3.1666666666666665,
0.10526315789473685,2.5256410256410255,3.8076923076923075,
0.11473684210526316,2.782051282051282,4.0,
0.12421052631578948,3.0384615384615383,4.0,
0.1336842105263158,3.1666666666666665,4.0,3.768394343148939
0.14315789473684212,3.423076923076923,4.0,
0.15263157894736842,3.615384615384615,4.0,
0.16210526315789472,3.8717948717948714,4.0,3.9744387909103205
0.17157894736842105,,4.0,
0.18105263157894738,,4.0,
0.19052631578947368,,4.0,
0.2,,4.0,
