U,T,docc_metal,nd_metal,F_metal,Z_metal,Zp_metal,eta_metal,W_metal,eps_metal,V_metal,conv_metal,metal_valid,docc_insulator,nd_insulator,F_insulator,Z_insulator,Zp_insulator,eta_insulator,W_insulator,eps_insulator,V_insulator,conv_insulator,ins_valid,coexistence,deltaF,stable_phase
2.0,0.02,0.2496615515908975,1.0000000000000007,-1.18635286780537,0.005759912450626898,0.4999999999999998,0.0,0.8255009209693124,0.0,0.2600352290194941,True,False,0.2490029250528895,1.0,-1.1684558754374628,0.007282402824380836,0.4999999999999999,0.0,0.7335933392705521,0.0,0.23823573446108043,False,False,False,,unknown
2.28,0.02,0.2485195313774102,0.9999999999999962,-1.293960118349026,0.006385789897829152,0.5000000000000013,0.0,0.7837570358747051,0.0,0.24296591441901033,False,False,0.24814763927607378,1.0,-1.2907065457659481,0.007377512670132066,0.4999999999999999,0.0,0.728814393779388,0.0,0.23811541297272146,False,False,False,,unknown
2.56,0.02,0.24727776711625163,0.9999999999999996,-1.4176839977343079,0.006750568568693119,0.5000000000000002,0.0,0.7621471929750682,0.0,0.24144109815252196,False,False,0.24684543359730837,1.0000000000000004,-1.415768547111521,0.007473270886187427,0.4999999999999998,0.0,0.7240951052338942,0.0,0.23804069875096528,True,False,False,,unknown
2.84,0.02,0.24562025744946758,1.0000000000000007,-1.5446212848899998,0.006845810433435383,0.4999999999999996,0.0,0.756790677121618,0.0,0.2412057734034164,True,False,0.24497647868621408,1.0000000000000049,-1.543028096329289,0.007609821721001456,0.4999999999999977,0.0,0.7175197436147585,0.0,0.23782781794146923,True,False,False,,unknown
3.12,0.02,0.2434135315573175,0.999999999999994,-1.6735058764034672,0.006947827377594471,0.500000000000003,0.0,0.7511402008825065,0.0,0.24108454688491462,True,False,0.24205551625036786,0.9999999999999996,-1.671673046492677,0.008286997782982985,0.5000000000000002,0.0,0.6873441815310378,0.0,0.2361308812133282,False,False,False,,unknown
3.4,0.02,0.24063050972648417,0.9999999999999989,-1.8039667289444683,0.006991806878779106,0.5000000000000006,0.0,0.7487926489573984,0.0,0.2410236555077313,False,False,0.22597328496063207,1.0,-1.8030810167063138,0.021110613390668203,0.4999999999999999,0.0,0.4278546457942678,0.0,0.2127862207296948,False,False,False,,unknown
2.0,0.11000000000000001,0.13794102654934493,1.0,-1.1588960733993143,0.14499484294557824,0.4999999999999999,0.0,0.8391713475933708,0.0,0.2708674126896457,True,True,0.12550254893465213,0.9999999999999994,-1.154275877509266,0.14871995805118804,0.5000000000000001,0.0,0.8267879845054253,0.0,0.2484292531318687,False,False,False,,metal
2.28,0.11000000000000001,0.11902744670445785,0.9999999999999999,-1.2846439870087747,0.1361035395361121,0.5000000000000001,0.0,0.870640158677452,0.0,0.25177385786357503,False,False,0.11625485290848522,0.9999999999999999,-1.2840030988039426,0.1309360065957336,0.5000000000000001,0.0,0.8903051603639127,0.0,0.24615329493521274,False,False,False,,unknown
2.56,0.11000000000000001,0.11115874403178086,0.9999999999999997,-1.416379009983609,0.12329703904758106,0.5000000000000001,0.0,0.9214939132210637,0.0,0.2494334811547515,False,False,0.10908273941520569,0.9999999999999996,-1.4160635141713391,0.11668071398285018,0.5000000000000001,0.0,0.950827809281809,0.0,0.24475545146387037,False,False,False,,unknown
2.84,0.11000000000000001,0.10518484235402319,0.9999999999999999,-1.5498915115569205,0.11108337753625332,0.5000000000000001,0.0,0.9775715039830628,0.0,0.24833533615209702,False,False,0.10208987922888499,0.9999999999999998,-1.5496993523739233,0.10716691403566367,0.5000000000000001,0.0,0.9971414827912348,0.0,0.24051657250786457,True,False,False,,unknown
3.12,0.11000000000000001,0.10036519968373338,0.9999999999999988,-1.6846334011297692,0.09913714203533336,0.5000000000000003,0.0,1.041726473994312,0.0,0.24759368515975944,False,False,0.0997697732583164,1.0000000000000002,-1.6846735133015516,0.1075128330356853,0.4999999999999999,0.0,0.9956653531181532,0.0,0.24595384833510725,True,False,False,,unknown
3.4,0.11000000000000001,0.09648423361233235,1.0000000000000007,-1.8202830988029968,0.09276534773272072,0.4999999999999998,0.0,1.0807107821153457,0.0,0.24728832504294354,True,False,0.10704988060830536,1.0000000000000009,-1.8140366319557004,0.19847230001566998,0.49999999999999944,0.0,0.6944674171363918,0.0,0.276649694102611,True,False,False,,unknown
2.0,0.2,0.12119796099048699,0.9999999999999997,-1.2175526330747277,0.31551473434906907,0.5000000000000001,0.0,0.9250788102302931,0.0,0.3222707979290053,True,True,0.1118851140524933,1.0,-1.2144034687320713,0.33906393347944314,0.4999999999999999,0.0,0.878653100590183,0.0,0.2932650302674299,True,False,False,,metal
2.28,0.2,0.10518612038701297,0.9999999999999999,-1.343288701707542,0.30266431889822104,0.5000000000000001,0.0,0.9538009104330626,0.0,0.29350491210201696,True,True,0.10277869854223622,0.9999999999999994,-1.3429999332801805,0.306261511320365,0.5000000000000001,0.0,0.9456524512307295,0.0,0.28495705612344296,True,False,False,,metal
2.56,0.2,0.09820842688755,0.9999999999999993,-1.4744516309663522,0.28162005400476586,0.5000000000000002,0.0,1.0035180299708635,0.0,0.28726924970279916,False,False,0.09604707516480311,1.0000000000000002,-1.474466573979154,0.2803398497265945,0.4999999999999999,0.0,1.0066401850753406,0.0,0.2786469046339287,True,False,False,,unknown
2.84,0.2,0.09279435807900195,1.0,-1.6076663921077907,0.26005438371213396,0.4999999999999999,0.0,1.0598579935277768,0.0,0.28189159896824945,False,False,0.09145518997847475,0.9999999999999988,-1.6078630307330748,0.26323327563841314,0.5000000000000003,0.0,1.0511736741936375,0.0,0.27590669053043854,False,False,False,,unknown
3.12,0.2,0.08826294045725139,0.9999999999999998,-1.742436378170833,0.23604854485108936,0.5000000000000001,0.0,1.1303477803586497,0.0,0.27581866332233507,False,False,0.09097713444268243,0.9999999999999993,-1.7414080845973259,0.27604132808261866,0.5000000000000002,0.0,1.0175358084868535,0.0,0.28898072085962495,False,False,False,,unknown
3.4,0.2,0.08497345928470092,1.0000000000000002,-1.8782059556690611,0.2219168086474381,0.4999999999999999,0.0,1.1765158598339784,0.0,0.27207139130677593,True,True,0.10242886946057715,0.9999999999999994,-1.8578743354219316,0.5024169132196612,0.5000000000000003,0.0,0.6252886532437391,0.0,0.3538823148417642,False,False,False,,metal
