U,T,docc_metal,nd_metal,F_metal,Z_metal,Zp_metal,eta_metal,W_metal,eps_metal,V_metal,conv_metal,metal_valid,docc_insulator,nd_insulator,F_insulator,Z_insulator,Zp_insulator,eta_insulator,W_insulator,eps_insulator,V_insulator,conv_insulator,ins_valid,coexistence,deltaF,stable_phase
2.0,0.05,0.2165285008360913,0.9999999999999992,-1.1565769525160006,0.03659077629250472,0.5000000000000002,0.0,0.7951931682787621,0.0,0.26442408623834635,True,False,0.19909829457559303,1.0,-1.1418494907945809,0.047147998227815534,0.4999999999999999,0.0,0.706156519611743,0.0,0.2401289806626618,False,False,False,,unknown
2.1555555555555554,0.05,0.19316593855105457,1.0000000000000002,-1.211445727562574,0.045687870646359416,0.4999999999999999,0.0,0.7179011352962843,0.0,0.24076299810780386,True,False,0.19266234947392158,0.9999999999999974,-1.211196773747588,0.04686664284693796,0.5000000000000009,0.0,0.7083775498109185,0.0,0.2401764061936526,False,False,False,,unknown
2.311111111111111,0.05,0.1868201629768049,0.9999999999999993,-1.2817253207627708,0.04568930385893339,0.5000000000000002,0.0,0.7177820963679287,0.0,0.2408005615651083,True,False,0.18632692924346822,0.9999999999999974,-1.2815281731966526,0.046395129743025815,0.500000000000001,0.0,0.7121441490124657,0.0,0.2402445772197131,False,False,False,,unknown
2.466666666666667,0.05,0.18045856231119872,1.0000000000000036,-1.3528057821391446,0.045268093603491294,0.49999999999999833,0.0,0.7213806564720535,0.0,0.24065179806511855,True,False,0.17506210953886425,0.9999999999999997,-1.3512213598947214,0.0474892200628536,0.5000000000000001,0.0,0.7061054127502538,0.0,0.23476343605272104,True,False,False,,unknown
2.6222222222222222,0.05,0.17444171874714043,1.0000000000000002,-1.4246872604465894,0.045268093603491294,0.4999999999999999,0.0,0.7213806564720535,0.0,0.24065179806511855,True,False,0.1703367270900867,1.0000000000000004,-1.4237045643701092,0.045859997643624445,0.4999999999999998,0.0,0.7182666160345312,0.0,0.23618280838712818,True,False,False,,unknown
2.7777777777777777,0.05,0.16868060610797558,1.0000000000000002,-1.497219250140496,0.045268093603491294,0.4999999999999999,0.0,0.7213806564720535,0.0,0.24065179806511855,True,False,0.16880631441958768,0.9999999999999994,-1.4972431552576566,0.04347566403812418,0.5000000000000002,0.0,0.7367917883374216,0.0,0.24078981410123568,False,False,False,,unknown
2.9333333333333336,0.05,0.16320263246327507,1.0000000000000004,-1.5703171561905314,0.045268093603491294,0.4999999999999998,0.0,0.7213806564720535,0.0,0.24065179806511855,True,False,0.16013668796556998,0.9999999999999987,-1.5698677671923085,0.043011537151033584,0.5000000000000007,0.0,0.742294276643504,0.0,0.23726130966223427,True,False,False,,unknown
3.088888888888889,0.05,0.15802255518697247,1.0000000000000033,-1.6439077963587458,0.045268093603491294,0.49999999999999817,0.0,0.7213806564720535,0.0,0.24065179806511855,True,False,0.1559224905266591,0.9999999999999967,-1.6436706266840573,0.04136008259187486,0.5000000000000017,0.0,0.7570868183494287,0.0,0.23828983891005207,True,False,False,,unknown
3.2444444444444445,0.05,0.15314518395832297,1.0000000000000004,-1.71792803457262,0.045268093603491294,0.4999999999999998,0.0,0.7213806564720535,0.0,0.24065179806511855,True,False,0.1536192786745372,1.0000000000000004,-1.7179485913741142,0.04047709286881222,0.4999999999999998,0.0,0.764791221046743,0.0,0.2411958733229942,True,False,False,,unknown
3.4,0.05,0.1485678371021292,1.0000000000000002,-1.7923234914101456,0.045268093603491294,0.4999999999999998,0.0,0.7213806564720535,0.0,0.24065179806511855,True,False,0.1456668101314368,0.9999999999999998,-1.7925849717462257,0.06040836926839324,0.5000000000000001,0.0,0.6194994011006906,0.0,0.23722708047265934,False,False,False,,unknown
